Neighborhood,Intersection Count,Density (st. mi/area mi^2),Miles of Major Roads,Total Street Miles,Drive Alone (2010),Commute to Work: Carpool/Vanpool (2010),Commute to Work: Public Transportation (2010),Commute to Work: Motorcycle (2010),Commute to Work: Taxi (2010),Commute to Work: Bicycle (2010),Commute to Work: Walk (2010),Commute to Work: Other (2010),Population (2010),Total Working Pop. (Age 16+) (2010),Percent Working Pop.,Work at Home (2010)
Spring Hill-City View,,24.09785358074,1.92068253699714,15.1816477558662,0.530589543938,0.182424916574,0.147942157953,0.0,0.0,0.06340378198,0.0444938820912,0.0,2648,899,33.9501510574018,0.0311457174638
Squirrel Hill North,22,21.6557715120958,8.1915332353268,26.463352787781,0.475343844348,0.0449513586045,0.110868835961,0.0020127474002,0.0,0.0155987923516,0.260818517276,0.0,11363,5962,52.4685382381413,0.090405904059
Squirrel Hill South,33,17.4734686372192,7.98916764663555,46.6716347300125,0.5404293611,0.086514976218,0.227407121738,0.0017997171873,0.0,0.0250674893945,0.0682607018897,0.00257102455328,15110,7779,51.4824619457313,0.0479496079188
St. Clair,1,14.0535217981659,1.36504926261818,4.35659175743144,0.307958477509,0.0,0.550173010381,0.0,0.0,0.0,0.100346020761,0.0,209,289,138.277511961722,0.0415224913495
Stanton Heights,2,27.9357657868963,2.15613307426144,20.5327878533688,0.714748784441,0.118719611021,0.126012965964,0.00810372771475,0.00283630470016,0.0190437601297,0.00850891410049,0.0,4601,2468,53.6405129319713,0.00202593192869
Strip District,20,28.5203766476519,5.16200968425532,17.3403890017724,0.537906137184,0.191335740072,0.180505415162,0.0,0.0,0.0,0.0,0.0,616,277,44.9675324675325,0.0902527075812
Summer Hill,2,28.8779238128366,4.94239425250227,12.6774085538353,0.945567651633,0.0279937791602,0.0264385692068,0.0,0.0,0.0,0.0,0.0,1051,643,61.1798287345385,0.0
Swisshelm Park,,17.7959819628308,2.03851170556502,8.54207134215881,0.695774647887,0.169014084507,0.0647887323944,0.0,0.0,0.030985915493,0.0295774647887,0.0,1361,710,52.1675238795004,0.00985915492958
Terrace Village,1,21.6678353873176,0.743196390630701,7.41039970246263,0.162948593598,0.0640155189137,0.451988360815,0.0,0.0,0.0,0.31231813773,0.0,3228,1031,31.9392812887237,0.00872938894277
Troy Hill,6,29.624803910411,2.39512993683841,13.6274097987891,0.650364963504,0.13795620438,0.0992700729927,0.0,0.0,0.0,0.0846715328467,0.0116788321168,2714,1370,50.478997789241,0.0160583941606
Upper Hill,4,30.5717450174769,0.769579035150909,9.56895619047028,0.489731437599,0.13112164297,0.312796208531,0.0,0.0,0.0,0.042654028436,0.0236966824645,2057,633,30.7729703451629,0.0
Upper Lawrenceville,9,29.8531858274705,1.82784207420955,12.0905402601255,0.567497850387,0.0541702493551,0.250214961307,0.0,0.0,0.0103181427343,0.0524505588994,0.0,2669,1163,43.5743724241289,0.0653482373173
West End,7,35.2139373828076,4.16586273567432,7.04278747656152,0.484375,0.171875,0.15625,0.1875,0.0,0.0,0.0,0.0,254,64,25.1968503937008,0.0
West Oakland,7,30.1947311246129,1.25516905303648,6.49186719179178,0.354916067146,0.00959232613909,0.220623501199,0.0,0.0,0.0,0.407673860911,0.00719424460432,2604,834,32.0276497695853,0.0
Westwood,3,24.0465523288063,2.41220898084633,16.6402142115339,0.630198336532,0.113883557262,0.128598848369,0.0115163147793,0.0,0.0,0.08701215611,0.0,3066,1563,50.9784735812133,0.0287907869482
Windgap,1,21.4994986981,1.09668802499525,8.9222919597115,0.599647266314,0.169312169312,0.179894179894,0.0,0.0,0.0,0.0,0.0511463844797,1369,567,41.4170927684441,0.0
